advertiser,advertiser_id,iso_state_province_code,total_conversions,ntb_conversions,ntb_conversion_pct,total_sales,ntb_sales,ntb_sales_pct
Marca Alpha,A1,BR-AC,441,227,51.4739,43955.12,23591.12,53.6709
Marca Alpha,A1,BR-AL,1771,570,32.1852,189307.5,59175.55,31.259
Marca Alpha,A1,BR-AP,459,248,54.0305,44045.17,21891.7,49.7028
Marca Alpha,A1,BR-AM,1914,865,45.1933,152857.62,68134.84,44.5741
Marca Alpha,A1,BR-BA,4955,1909,38.5267,389805.85,155869.55,39.9865
Marca Alpha,A1,BR-CE,5047,2603,51.5752,385510.9,183129.65,47.5031
Marca Alpha,A1,BR-DF,4885,1284,26.2845,421713.08,114261.36,27.0946
Marca Alpha,A1,BR-ES,2848,1335,46.875,223907.61,108209.27,48.3276
Marca Alpha,A1,BR-GO,4993,1876,37.5726,541536.38,203815.95,37.6366
Marca Alpha,A1,BR-MA,2760,1349,48.8768,297083.75,151822.02,51.1041
Marca Alpha,A1,BR-MT,3256,1101,33.8145,266834.27,83502.47,31.2938
Marca Alpha,A1,BR-MS,1563,509,32.5656,113482.53,36618.49,32.268
Marca Alpha,A1,BR-MG,12977,4327,33.3436,1260292.11,397768.63,31.5616
Marca Alpha,A1,BR-PA,4787,1888,39.4402,427143.09,163853.69,38.3604
Marca Alpha,A1,BR-PB,2209,1238,56.0435,159666.6,80883.23,50.6576
Marca Alpha,A1,BR-PR,14212,3784,26.6254,1475137.89,399954.55,27.113
Marca Alpha,A1,BR-PE,4124,1308,31.7168,384112.47,110540.99,28.7783
Marca Alpha,A1,BR-PI,1309,477,36.44,141643.22,52322.11,36.9394
Marca Alpha,A1,BR-RJ,23627,7910,33.4786,2925826.3,933797.8,31.9157
Marca Alpha,A1,BR-RN,1659,567,34.1772,167599.02,58060.48,34.6425
Marca Alpha,A1,BR-RS,12695,3430,27.0185,1325202.78,373052.01,28.1506
Marca Alpha,A1,BR-RO,590,276,46.7797,49341.48,24010.22,48.6613
Marca Alpha,A1,BR-RR,284,128,45.0704,30378.88,13012.5,42.834
Marca Alpha,A1,BR-SC,7925,2210,27.8864,611010.45,157187.0,25.7257
Marca Alpha,A1,BR-SP,84563,25066,29.6418,10684487.14,2873463.02,26.8938
Marca Alpha,A1,BR-SE,1413,589,41.6844,129065.16,50388.45,39.0411
Marca Alpha,A1,BR-TO,790,339,42.9114,81410.94,33707.16,41.4037
Marca Beta,B2,BR-AC,135,68,50.3704,14396.77,7123.07,49.4768
Marca Beta,B2,BR-AL,838,657,78.401,63036.77,51568.29,81.8067
Marca Beta,B2,BR-AP,176,94,53.4091,17867.59,9264.72,51.8521
Marca Beta,B2,BR-AM,693,423,61.039,71926.02,42591.26,59.2154
Marca Beta,B2,BR-BA,4093,3607,88.1261,426040.81,363548.44,85.3318
Marca Beta,B2,BR-CE,1945,1331,68.4319,192905.49,124640.14,64.612
Marca Beta,B2,BR-DF,1935,1038,53.6434,168808.03,95008.63,56.2821
Marca Beta,B2,BR-ES,1981,1143,57.6981,188350.7,103377.82,54.8858
Marca Beta,B2,BR-GO,1938,1299,67.0279,156769.48,108289.41,69.0756
Marca Beta,B2,BR-MA,1383,1108,80.1157,140292.77,112966.41,80.5219
Marca Beta,B2,BR-MT,1302,693,53.2258,130701.99,69984.59,53.5452
Marca Beta,B2,BR-MS,775,516,66.5806,69306.24,46361.56,66.8938
Marca Beta,B2,BR-MG,7289,4569,62.6835,785913.84,486332.03,61.8811
Marca Beta,B2,BR-PA,1278,759,59.3897,117422.17,69833.05,59.4718
